Umur (bulan),Tinggi Badan (cm),Jenis Kelamin_perempuan
0.85,0.5715400927538331,1
0.0,0.14392777737867135,0
0.6166666666666667,0.5567656131936204,0
0.0,0.18497949291205495,0
0.8,0.6033620487296757,0
0.21666666666666667,0.3771988616156514,1
0.0,0.0296944103590972,1
0.11666666666666667,0.30332646381458817,0
0.8833333333333333,0.6340475062778096,1
0.08333333333333333,0.391973341175864,0
0.5333333333333333,0.4476617641335887,1
0.4666666666666667,0.6454124905548962,0
0.13333333333333333,0.1828576304774696,1
0.06666666666666667,0.13398819808599693,0
0.4166666666666667,0.4249317955794154,0
0.8166666666666667,0.9022611352170548,0
0.5,0.5794955817477937,1
0.23333333333333334,0.3987923317421159,0
0.9,0.8181602515666134,1
0.5333333333333333,0.6726884528199043,0
0.8,0.8681661823857948,1
0.26666666666666666,0.2930979779652101,1
0.23333333333333334,0.48971220595880915,1
0.6333333333333333,0.7022374119403295,0
0.03333333333333333,0.26755323600697545,1
0.95,0.6715519543921956,1
0.45,0.4192493034408721,0
0.6,0.6226825220007229,1
0.55,0.456753751555258,0
0.9166666666666666,0.731786371060755,1
0.8166666666666667,0.8420267185484954,0
0.016666666666666666,0.13994132235738344,1
0.23333333333333334,0.4112938144469114,0
0.06666666666666667,0.15558166821246167,1
0.85,0.6783709449584477,0
0.9833333333333333,0.8886231540845507,0
0.0,0.07170338905439566,1
0.03333333333333333,0.3906631881339705,0
1.0,0.7249673804945028,0
0.7666666666666666,0.8602106933918342,1
0.95,0.8181602515666134,1
0.03333333333333333,0.22192834091184666,0
0.5166666666666666,0.5840415754586284,1
0.3333333333333333,0.5783590833200852,1
0.75,0.7420148569101329,1
0.6333333333333333,0.721557885211377,1
0.95,0.8113412610003615,0
0.0,0.08667443437572409,0
0.65,0.5056231839467306,0
0.8833333333333333,0.5533561179104945,1
0.9,0.6908724276632429,0
0.6,0.7420148569101329,1
0.7666666666666666,0.7863382955907708,0
0.3333333333333333,0.4101573160192026,0
0.03333333333333333,0.3011028872409284,0
0.6,0.673824951247613,0
0.9166666666666666,0.8783946682351728,1
0.3833333333333333,0.6408664968440617,0
0.6166666666666667,0.5601751084767465,0
0.18333333333333332,0.4931217012419352,1
0.03333333333333333,0.0915212567081537,0
0.7,0.7431513553378416,1
0.6166666666666667,0.5829050770309198,1
0.9833333333333333,0.8988516399339287,0
0.7833333333333333,0.769290819175141,0
0.4166666666666667,0.615863531434471,1
0.8833333333333333,0.8011127751509836,0
0.45,0.6113175377236363,0
0.16666666666666666,0.2862789873989582,1
0.03333333333333333,0.3283002196307341,1
0.31666666666666665,0.4931217012419352,1
0.8166666666666667,0.5556291147659119,0
0.8666666666666667,0.7249673804945028,1
0.16666666666666666,0.4715282311154706,1
0.36666666666666664,0.5476736257719511,0
0.9666666666666667,0.7567893364703454,1
0.36666666666666664,0.48175671696484856,1
0.65,0.7090564025065816,1
0.5166666666666666,0.45107125941671466,0
0.4166666666666667,0.5794955817477937,1
0.03333333333333333,0.15893484507647448,0
0.2833333333333333,0.5454006289165337,0
0.8,0.6033620487296757,1
0.5166666666666666,0.6670059606813611,0
0.5166666666666666,0.6249555188561403,1
0.9166666666666666,0.7624718286088888,0
0.7333333333333333,0.554492616338203,1
0.45,0.7136023962174162,0
0.3833333333333333,0.6442759921271878,0
0.016666666666666666,0.19269618240001962,1
0.4666666666666667,0.49880419338047854,0
0.16666666666666666,0.2374095550074855,0
0.2,0.4169763065854547,0
0.03333333333333333,0.3136635218763921,0
0.7,0.6783709449584477,1
0.06666666666666667,0.26695851412791083,0
0.016666666666666666,0.10851490676577225,1
0.6333333333333333,0.5385816383502818,1
0.11666666666666667,0.17149264620038296,1
0.18333333333333332,0.4317507861456673,1
0.8333333333333334,0.6420029952717704,0
0.0,0.1582380952405944,1
0.9,0.935219589620606,1
0.25,0.5488101241996598,1
0.5166666666666666,0.7249673804945028,0
0.21666666666666667,0.4192493034408721,0
0.7833333333333333,0.8590741949641253,0
0.8,0.8113412610003615,1
0.75,0.8397537216930783,0
0.95,0.8658931855303774,1
0.8333333333333334,0.568130597470707,0
0.9833333333333333,0.8545282012532908,0
0.3833333333333333,0.673824951247613,1
0.016666666666666666,0.1609913919827528,1
0.5833333333333334,0.5840415754586284,1
0.8666666666666667,0.5499466226273685,1
0.08333333333333333,0.3556053914891867,0
0.9166666666666666,0.9465845738976927,0
0.8333333333333334,0.8431632169762041,0
0.45,0.663596465398235,0
0.016666666666666666,0.13021537776950465,1
0.2833333333333333,0.3396944135012655,0
0.6166666666666667,0.6181365282898884,1
0.8333333333333334,0.8011127751509836,1
0.0,0.16368092624163777,0
0.3333333333333333,0.554492616338203,0
0.0,0.04020820293935834,0
0.6333333333333333,0.7283768757776289,1
0.18333333333333332,0.39765583331440735,1
0.23333333333333334,0.4249317955794154,0
0.6833333333333333,0.5465371273442424,1
0.4666666666666667,0.5954065597357151,0
0.03333333333333333,0.24122960778645164,1
0.03333333333333333,0.16073785128195683,1
0.43333333333333335,0.44311577042275396,1
0.0,0.21102002633294592,0
0.3,0.4556172531275492,0
0.03333333333333333,0.27863966438561827,1
0.016666666666666666,0.29087520681281387,0
0.0,0.11864085289850357,0
0.03333333333333333,0.23758413470243478,0
0.6833333333333333,0.5056231839467306,0
0.65,0.5294896509286124,1
0.8333333333333334,0.8442997154039128,1
0.8833333333333333,0.6317745094223922,1
0.9666666666666667,0.7261038789222117,1
0.6833333333333333,0.8386172232653694,1
0.0,0.18616580776422276,0
0.5166666666666666,0.6204095251453056,1
0.8,0.7147388946451251,1
0.1,0.38856384589273807,1
0.5333333333333333,0.5272166540731952,1
0.7166666666666667,0.574949588036959,0
0.6666666666666666,0.7067834056511643,0
0.8333333333333334,0.8670296839580861,0
0.45,0.4476617641335887,0
0.23333333333333334,0.5044866855190219,0
0.23333333333333334,0.4953946980973525,0
0.35,0.4556172531275492,0
0.4166666666666667,0.43743327828421064,1
0.03333333333333333,0.39744235748834267,0
0.48333333333333334,0.48175671696484856,0
0.8333333333333334,0.8136142578557787,1
